id,regular,region,universe,neutralization,decay,delay,test_period,truncation,pasteurization,nan_handling
FullTest_0001,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.08,ON,ON
FullTest_0002,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.08,ON,OFF
FullTest_0003,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.08,OFF,ON
FullTest_0004,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.08,OFF,OFF
FullTest_0005,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.01,ON,ON
FullTest_0006,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.01,ON,OFF
FullTest_0007,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.01,OFF,ON
FullTest_0008,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P1Y,0.01,OFF,OFF
FullTest_0009,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.08,ON,ON
FullTest_0010,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.08,ON,OFF
FullTest_0011,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.08,OFF,ON
FullTest_0012,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.08,OFF,OFF
FullTest_0013,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.01,ON,ON
FullTest_0014,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.01,ON,OFF
FullTest_0015,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.01,OFF,ON
FullTest_0016,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,0,P2Y,0.01,OFF,OFF
FullTest_0017,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.08,ON,ON
FullTest_0018,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.08,ON,OFF
FullTest_0019,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.08,OFF,ON
FullTest_0020,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.08,OFF,OFF
FullTest_0021,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.01,ON,ON
FullTest_0022,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.01,ON,OFF
FullTest_0023,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.01,OFF,ON
FullTest_0024,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P1Y,0.01,OFF,OFF
FullTest_0025,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.08,ON,ON
FullTest_0026,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.08,ON,OFF
FullTest_0027,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.08,OFF,ON
FullTest_0028,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.08,OFF,OFF
FullTest_0029,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.01,ON,ON
FullTest_0030,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.01,ON,OFF
FullTest_0031,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.01,OFF,ON
FullTest_0032,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,0,1,P2Y,0.01,OFF,OFF
FullTest_0033,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.08,ON,ON
FullTest_0034,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.08,ON,OFF
FullTest_0035,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.08,OFF,ON
FullTest_0036,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.08,OFF,OFF
FullTest_0037,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.01,ON,ON
FullTest_0038,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.01,ON,OFF
FullTest_0039,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.01,OFF,ON
FullTest_0040,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P1Y,0.01,OFF,OFF
FullTest_0041,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.08,ON,ON
FullTest_0042,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.08,ON,OFF
FullTest_0043,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.08,OFF,ON
FullTest_0044,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.08,OFF,OFF
FullTest_0045,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.01,ON,ON
FullTest_0046,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.01,ON,OFF
FullTest_0047,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.01,OFF,ON
FullTest_0048,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,0,P2Y,0.01,OFF,OFF
FullTest_0049,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.08,ON,ON
FullTest_0050,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.08,ON,OFF
FullTest_0051,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.08,OFF,ON
FullTest_0052,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.08,OFF,OFF
FullTest_0053,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.01,ON,ON
FullTest_0054,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.01,ON,OFF
FullTest_0055,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.01,OFF,ON
FullTest_0056,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P1Y,0.01,OFF,OFF
FullTest_0057,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.08,ON,ON
FullTest_0058,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.08,ON,OFF
FullTest_0059,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.08,OFF,ON
FullTest_0060,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.08,OFF,OFF
FullTest_0061,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.01,ON,ON
FullTest_0062,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.01,ON,OFF
FullTest_0063,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.01,OFF,ON
FullTest_0064,"Rank(Ts_Rank(close, 10))",USA,TOP3000,INDUSTRY,5,1,P2Y,0.01,OFF,OFF
FullTest_0065,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.08,ON,ON
FullTest_0066,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.08,ON,OFF
FullTest_0067,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.08,OFF,ON
FullTest_0068,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.08,OFF,OFF
FullTest_0069,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.01,ON,ON
FullTest_0070,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.01,ON,OFF
FullTest_0071,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.01,OFF,ON
FullTest_0072,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P1Y,0.01,OFF,OFF
FullTest_0073,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P2Y,0.08,ON,ON
FullTest_0074,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P2Y,0.08,ON,OFF
FullTest_0075,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P2Y,0.08,OFF,ON
FullTest_0076,"Rank(Ts_Rank(close, 10))",USA,TOP3000,MARKET,0,0,P2Y,0.08,OFF,OFF
